,Player,G,GS,Int,Yds,IntTD,Lng,PD,FF,Fmb,FR,Yds.1,FRTD,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,Awards
829,Phidarian Mathis,12,0,0,0,0,0,1,0,0,0,0,0,0.0,17,8,9,2,0,0,0
830,Naquan Jones,12,0,0,0,0,0,2,0,0,0,0,0,3.0,27,11,16,4,4,0,0
831,Quinton Jefferson,12,0,0,0,0,0,0,0,0,0,0,0,2.0,14,5,9,3,4,0,0
832,Sheldon Day,12,0,0,0,0,0,1,0,0,0,0,0,0.0,24,12,12,2,1,0,0
833,Khalil Davis,12,0,0,0,0,0,0,0,0,0,0,0,1.0,12,7,5,4,2,0,0
834,DeShawn Williams,12,1,0,0,0,0,0,0,0,0,0,0,0.5,16,8,8,0,4,0,0
835,Dean Lowry,12,1,0,0,0,0,1,0,0,0,0,0,1.0,5,1,4,0,1,0,0
836,Zachary Carter,12,2,0,0,0,0,1,0,0,0,0,0,1.5,22,10,12,0,2,0,0
837,DeForest Buckner,12,11,0,0,0,0,1,0,0,0,0,0,6.5,61,24,37,8,14,0,0
838,John Ridgeway,13,0,0,0,0,0,1,0,0,0,0,0,0.0,15,8,7,1,0,0,0
839,McKinnley Jackson,13,1,0,0,0,0,0,1,0,0,0,0,1.0,15,6,9,2,1,0,0
840,Jay Tufele,13,3,0,0,0,0,1,0,0,0,0,0,0.5,15,5,10,1,2,0,0
841,Mario Edwards,13,12,0,0,0,0,2,0,0,2,0,0,3.0,31,12,19,3,8,0,0
842,Austin Johnson,15,1,2,9,0,5,2,0,0,0,0,0,0.5,19,7,12,0,1,0,0
843,Jeremiah Ledbetter,15,3,0,0,0,0,0,0,0,0,0,0,2.0,38,20,18,8,4,0,0
844,Broderick Washington Jr.,15,5,0,0,0,0,2,1,0,0,0,0,2.0,21,9,12,1,2,0,0
845,Byron Cowart,15,7,0,0,0,0,0,0,0,0,0,0,2.5,26,14,12,5,4,0,0
846,Isaiahh Loudermilk,16,0,0,0,0,0,1,0,0,0,0,0,0.0,17,10,7,0,0,0,0
847,Adetomiwa Adebawore,16,0,0,0,0,0,0,0,0,0,0,0,1.0,7,5,2,3,2,0,0
848,Jeremiah Pharms,16,5,0,0,0,0,0,0,0,0,0,0,2.0,33,16,17,4,5,0,0
849,Dante Stills,16,10,0,0,0,0,1,1,0,0,0,0,4.5,42,20,22,4,6,0,0
850,Jeffery Simmons,16,16,0,0,0,0,4,2,0,2,0,0,5.0,76,41,35,11,9,0,1
851,Teair Tart,17,0,1,4,0,4,2,1,1,1,0,0,1.0,29,15,14,5,5,0,0
852,Linval Joseph,17,0,0,0,0,0,0,1,0,0,0,0,2.0,19,9,10,2,3,0,0
853,Raekwon Davis,17,0,0,0,0,0,1,0,0,0,0,0,0.0,15,7,8,1,0,0,0
854,Chris Williams,17,1,0,0,0,0,0,0,0,0,0,0,3.0,23,17,6,3,7,0,0
855,Malcolm Roach,17,1,0,0,0,0,2,1,0,1,0,0,2.5,43,18,25,5,8,0,0
856,Moro Ojomo,17,1,0,0,0,0,0,0,0,0,0,0,0.0,20,6,14,0,5,0,0
857,Derrick Nnadi,17,1,0,0,0,0,0,0,0,0,0,0,0.0,11,3,8,0,0,0,0
858,Thomas Booker,17,1,0,0,0,0,1,0,0,0,0,0,1.0,18,8,10,2,2,0,0
859,Roy Robertson-Harris,17,2,0,0,0,0,1,0,0,0,0,0,2.0,20,10,10,4,5,0,0
860,Da'Shawn Hand,17,2,0,0,0,0,1,1,0,1,0,0,1.0,31,20,11,5,4,0,0
861,Elijah Chatman,17,3,0,0,0,0,0,0,0,1,0,0,1.0,21,11,10,2,3,0,0
862,Taven Bryan,17,6,0,0,0,0,1,0,0,1,0,0,1.0,20,11,9,3,2,0,0
863,Milton Williams,17,7,0,0,0,0,1,1,0,1,0,0,5.0,24,11,13,7,10,0,0
864,Jonah Laulu,17,7,0,0,0,0,3,0,0,0,0,0,1.0,35,15,20,3,2,0,0
865,Johnathan Hankins,17,8,1,0,0,0,1,0,0,0,0,0,1.0,30,15,15,5,2,0,0
866,Bryan Bresee,17,11,0,0,0,0,3,1,0,0,0,0,7.5,25,17,8,7,14,0,0
867,Nnamdi Madubuike,17,17,0,0,0,0,1,1,0,0,0,0,6.5,43,21,22,11,17,0,1
